CONTRAT_CLIENT|OFFRE_COMMERCIAL|DESC_SEGMENT_CLIENT|DATE_ACTIVATION|STATUT
CC_54518589|PRE - TT 1500%|Residentiels|11/07/2010 18:42:15|D
CC_5708682|PRE - New Elissa|Elissa|18/06/2010 12:04:22|D
CC_5568742|PRE - New Elissa|Elissa|05/06/2010 14:11:14|D
CC_58108247|PRE - New Elissa|Elissa|02/07/2010 08:53:16|D
CC_55769011|PRE - Trankil TT|Entreprise/Soho|15/12/2010 16:10:50|D
CC_54218220|PRE - New Elissa|Elissa|28/06/2010 12:39:26|D
CC_57238820|PRE - EST 1000% New|Enterprise/SME|21/05/2010 14:44:17|D
CC_55497727|PRE - Double Reinstal|Entreprise/Soho|15/02/2010 13:04:32|D
CC_59498899|PRE - TT 1000%|Residentiels|25/01/2011 10:34:18|D
CC_50519027|PRE - TT 1500%|Residentiels|16/10/2010 12:39:43|D
CC_59558888|PRE - Corporate Optimum Family|Enterprise/SME|04/10/2010 09:49:37|D
CC_55768594|PRE - Trankil TT|Residentiels|15/07/2010 12:48:15|D
CC_51767459|PRE - TT 1000%|Residentiels|29/04/2007|D
CC_58448920|PRE - Family Connect|Enterprise/SME|27/06/2011 08:25:03|D
CC_52439028|PRE - TT 1500%|Residentiels|19/09/2011 13:21:14|D
CC_56897695|PRE - TT 1500%|Residentiels|26/03/2010 12:54:03|D
CC_55929002|PRE - Double Reinstal|Residentiels|08/11/2010 15:32:22|D
CC_54037501|PRE - TT 1500%|Residentiels|04/03/2010 18:48:39|D
CC_55798641|PRE - Trankil TT|Entreprise/Soho|18/08/2010 15:53:43|D
CC_50759041|PRE - TT 1500%|B2B2C adherent|13/02/2011 10:33:55|D
CC_59919030|PRE - 900 bonus|Residentiels|04/05/2012 14:56:22|D
CC_59358271|PRE - New Elissa|Elissa|28/06/2010 10:52:10|D
CC_54928196|PRE - Elissa|Elissa|05/07/2010 16:33:35|D
CC_51017455|PRE - Trankil TT|Entreprise/Soho|17/04/2007|D
CC_51478005|PRE - 900 bonus|Residentiels|05/05/2010 14:23:45|D
CC_58639014|PRE - Trankil TT|Residentiels|09/02/2011 14:27:14|D
CC_54699844|PRE - Trankil TT|Residentiels|05/03/2012 11:08:33|D
CC_56407920|PRE - Trankil TT|Residentiels|11/02/2010 15:10:53|D
CC_56047960|PRE - Trankil TT|Enterprise/SME|31/12/2010 15:49:10|D
CC_56948813|PRE - Double|Residentiels|16/09/2010 12:25:41|D
CC_57408946|PRE - 1=11|Residentiels|08/03/2011 12:32:55|D
CC_56069032|PRE - TT 1500%|Residentiels|11/10/2010 19:20:26|D
CC_50239003|PRE - Oulidha 1000%|Residentiels|27/09/2012 18:17:20|D
CC_58278677|PRE - TT 1500%|Residentiels|20/09/2010 14:54:05|D
CC_55109122|PRE - 900 bonus|Residentiels|19/09/2014 10:13:33|D
CC_59829041|PRE - Trankil TT|Enterprise/SME|16/08/2012 08:27:06|D
CC_59148139|PRE - New Elissa|Elissa|01/07/2010 19:15:52|D
CC_58809111|PRE - TT 1000%|Residentiels|07/11/2010 17:39:01|D
CC_51109020|PRE - Corporate Optimum Family|Residentiels|18/09/2010 13:59:38|D
CC_55308662|PRE - Family Connect|B2B2C amicale|05/07/2010 08:47:27|D
CC_52168220|PRE - New Elissa|Elissa|22/06/2010 17:43:24|D
CC_55358921|PRE - 900 bonus|Residentiels|23/02/2011 17:32:37|D
CC_59767742|PRE - Trankil TT|Residentiels|11/02/2010 09:27:18|D
CC_58518827|PRE - TT 1000%|Enterprise/SME|11/06/2010 14:42:21|D
CC_54018998|PRE - TT 1500%|Residentiels|06/03/2014 19:09:48|D
CC_59497990|PRE - Trankil TT|Entreprise/Soho|03/02/2010 10:07:22|D
CC_50647991|PRE - Trankil TT|Entreprise/Soho|03/02/2010 11:20:18|D
CC_56229888|PRE - Trankil TT|Residentiels|10/08/2011 13:53:14|D
CC_59197452|PRE - TT 1500%|Residentiels|09/08/2006|D
CC_50838927|PRE - 900 bonus|Residentiels|12/04/2011 09:17:48|D
CC_55888142|PRE - New Elissa|Elissa|25/07/2010 13:58:26|D
CC_50829694|PRE - Trankil TT|Enterprise/SME|13/12/2010 12:12:04|D
CC_59878767|PRE - Double|Residentiels|26/07/2010 08:31:48|D
CC_51678273|PRE - Trankil TT|Residentiels|05/03/2010 16:00:50|D
CC_53429100|PRE - Trankil TT|Enterprise/SME|07/09/2010 12:36:39|D
